Time_ps	P1_Polar	P2_Nematic
8240.00	0.443567	0.642951
8250.00	0.442827	0.636659
8260.00	0.446358	0.639256
8270.00	0.442761	0.635346
8280.00	0.440241	0.636495
8290.00	0.443323	0.641080
8300.00	0.441259	0.635534
8310.00	0.442648	0.641466
8320.00	0.442657	0.641858
8330.00	0.441940	0.641832
8340.00	0.440037	0.640662
8350.00	0.441384	0.637563
8360.00	0.440925	0.632363
8370.00	0.443439	0.638725
8380.00	0.438637	0.636396
8390.00	0.438880	0.631357
8400.00	0.441598	0.633382
8410.00	0.438904	0.637013
8420.00	0.439546	0.634895
8430.00	0.441683	0.639720
8440.00	0.438219	0.639004
8450.00	0.439837	0.637955
8460.00	0.439167	0.636102
8470.00	0.441188	0.635937
8480.00	0.440267	0.639389
8490.00	0.439518	0.639041
8500.00	0.439559	0.640362
8510.00	0.439571	0.637128
8520.00	0.438473	0.634391
8530.00	0.440536	0.632326
8540.00	0.441569	0.641374
8550.00	0.442502	0.638054
8560.00	0.439431	0.635115
8570.00	0.441645	0.636805
8580.00	0.440915	0.639411
8590.00	0.438730	0.633191
8600.00	0.438982	0.632153
8610.00	0.442002	0.637109
8620.00	0.441460	0.636930
8630.00	0.438494	0.634911
8640.00	0.443384	0.640156
8650.00	0.441861	0.641107
8660.00	0.441093	0.633986
8670.00	0.441112	0.638538
8680.00	0.440158	0.632126
8690.00	0.440577	0.632700
8700.00	0.441493	0.630471
8710.00	0.441219	0.635175
8720.00	0.444308	0.636752
8730.00	0.442028	0.636339
8740.00	0.439325	0.631022
8750.00	0.440022	0.635267
8760.00	0.440296	0.633316
8770.00	0.442666	0.638660
8780.00	0.441594	0.639269
8790.00	0.439442	0.636168
8800.00	0.442309	0.642142
8810.00	0.443839	0.636808
8820.00	0.440598	0.634770
8830.00	0.441407	0.633560
8840.00	0.440729	0.637166
8850.00	0.440468	0.638673
8860.00	0.437666	0.632481
8870.00	0.442421	0.629118
8880.00	0.440469	0.632148
8890.00	0.439830	0.635658
8900.00	0.439657	0.633137
8910.00	0.440908	0.631881
8920.00	0.437548	0.630231
8930.00	0.437981	0.632333
8940.00	0.438777	0.632346
8950.00	0.437745	0.627501
8960.00	0.438995	0.631818
8970.00	0.441015	0.629499
8980.00	0.437538	0.634095
8990.00	0.441228	0.635720
9000.00	0.442340	0.636686
9010.00	0.438586	0.630215
9020.00	0.438439	0.634739
9030.00	0.437133	0.629164
9040.00	0.438448	0.632284
9050.00	0.438003	0.630908
9060.00	0.439089	0.639065
9070.00	0.439065	0.640547
9080.00	0.439612	0.635180
9090.00	0.439454	0.638063
9100.00	0.437616	0.632642
9110.00	0.439834	0.631213
9120.00	0.438945	0.628548
9130.00	0.438782	0.633140
9140.00	0.439045	0.633770
9150.00	0.436980	0.625332
9160.00	0.438121	0.631136
9170.00	0.440532	0.641062
9180.00	0.436842	0.631146
9190.00	0.437321	0.630657
9200.00	0.440066	0.634035
9210.00	0.434881	0.629211
9220.00	0.438036	0.627462
9230.00	0.434181	0.623758
9240.00	0.438333	0.626750
9250.00	0.437523	0.631027
9260.00	0.435811	0.626340
9270.00	0.436179	0.630878
9280.00	0.437943	0.632827
9290.00	0.437151	0.635407
9300.00	0.435454	0.630043
