Time_ps	P1_Polar	P2_Nematic
7050.00	0.443635	0.671502
7060.00	0.443956	0.670405
7070.00	0.444527	0.673846
7080.00	0.443474	0.666138
7090.00	0.441805	0.670267
7100.00	0.442129	0.672586
7110.00	0.442384	0.667635
7120.00	0.442968	0.668580
7130.00	0.444500	0.669595
7140.00	0.444443	0.669807
7150.00	0.445473	0.670216
7160.00	0.445252	0.667475
7170.00	0.445423	0.670667
7180.00	0.445895	0.669920
7190.00	0.444952	0.670808
7200.00	0.444926	0.672238
7210.00	0.442663	0.663948
7220.00	0.442968	0.669065
7230.00	0.445973	0.674451
7240.00	0.445119	0.672443
7250.00	0.442239	0.670473
7260.00	0.444633	0.675723
7270.00	0.443367	0.669706
7280.00	0.444717	0.670821
7290.00	0.444638	0.671647
7300.00	0.443324	0.666102
7310.00	0.443944	0.671004
7320.00	0.443703	0.668363
7330.00	0.445101	0.668016
7340.00	0.443233	0.675119
7350.00	0.443392	0.672146
7360.00	0.445181	0.670545
7370.00	0.443427	0.671584
7380.00	0.443284	0.667091
7390.00	0.442768	0.669819
7400.00	0.444260	0.674715
7410.00	0.442224	0.666418
7420.00	0.444294	0.678674
7430.00	0.445672	0.670782
7440.00	0.443036	0.664765
7450.00	0.447291	0.674035
7460.00	0.444380	0.672701
7470.00	0.444914	0.666829
7480.00	0.443674	0.670976
7490.00	0.445504	0.668465
7500.00	0.446462	0.670639
7510.00	0.443777	0.668584
7520.00	0.445072	0.667163
7530.00	0.445695	0.671822
7540.00	0.442573	0.665776
7550.00	0.447437	0.667892
7560.00	0.445180	0.670235
7570.00	0.445652	0.665591
7580.00	0.446281	0.664198
7590.00	0.445927	0.666528
7600.00	0.444071	0.670862
7610.00	0.441489	0.668024
7620.00	0.446860	0.670082
7630.00	0.445082	0.670387
7640.00	0.448029	0.671313
7650.00	0.445710	0.670349
7660.00	0.447181	0.675619
7670.00	0.446182	0.677534
7680.00	0.444309	0.669944
7690.00	0.446164	0.675227
7700.00	0.445123	0.665871
7710.00	0.443360	0.670341
7720.00	0.444632	0.669598
7730.00	0.446037	0.672637
7740.00	0.444036	0.671156
7750.00	0.445141	0.665793
7760.00	0.444069	0.667208
7770.00	0.444375	0.674980
7780.00	0.444396	0.663188
7790.00	0.447413	0.667459
7800.00	0.444371	0.664585
7810.00	0.446143	0.665605
7820.00	0.442359	0.660574
7830.00	0.444908	0.662770
7840.00	0.446560	0.662828
7850.00	0.447249	0.661774
7860.00	0.444336	0.663151
7870.00	0.446015	0.664451
7880.00	0.446376	0.667074
7890.00	0.443464	0.662983
7900.00	0.444392	0.668797
7910.00	0.445347	0.664709
7920.00	0.445942	0.667583
7930.00	0.447522	0.667719
7940.00	0.448801	0.668501
7950.00	0.446047	0.670148
7960.00	0.448794	0.668784
7970.00	0.446097	0.666922
7980.00	0.443443	0.672223
7990.00	0.447054	0.668519
8000.00	0.446603	0.669462
8010.00	0.447343	0.666638
8020.00	0.446722	0.669949
8030.00	0.448614	0.664689
8040.00	0.444915	0.665702
8050.00	0.446648	0.667702
8060.00	0.446210	0.666911
8070.00	0.445337	0.664523
8080.00	0.449346	0.661018
8090.00	0.445342	0.665682
8100.00	0.448259	0.660490
8110.00	0.445461	0.660236
8120.00	0.447696	0.667065
8130.00	0.449485	0.665185
8140.00	0.449128	0.673190
8150.00	0.447873	0.666396
8160.00	0.449443	0.669721
8170.00	0.448299	0.661358
8180.00	0.446975	0.665648
8190.00	0.448133	0.662954
8200.00	0.445146	0.667657
8210.00	0.446552	0.667092
8220.00	0.444013	0.665559
8230.00	0.445717	0.663233
8240.00	0.444874	0.665673
8250.00	0.446118	0.662963
8260.00	0.449777	0.671499
8270.00	0.446446	0.668071
8280.00	0.446173	0.666628
8290.00	0.446567	0.668863
8300.00	0.448486	0.668034
8310.00	0.445858	0.669014
8320.00	0.444991	0.663263
8330.00	0.447131	0.667145
8340.00	0.446801	0.666442
8350.00	0.444969	0.664546
8360.00	0.445495	0.667617
8370.00	0.448173	0.664315
8380.00	0.450448	0.670454
8390.00	0.448254	0.669585
8400.00	0.447154	0.668389
8410.00	0.446043	0.659116
8420.00	0.448985	0.665106
8430.00	0.446981	0.658219
8440.00	0.445103	0.663694
8450.00	0.447130	0.661955
8460.00	0.446700	0.663172
8470.00	0.444204	0.661360
8480.00	0.448650	0.667506
8490.00	0.445734	0.663405
8500.00	0.446656	0.657392
8510.00	0.442753	0.657842
8520.00	0.446886	0.667894
8530.00	0.447006	0.666293
8540.00	0.445601	0.666037
8550.00	0.448468	0.666530
8560.00	0.447477	0.660205
8570.00	0.444953	0.667690
8580.00	0.446148	0.668989
8590.00	0.444676	0.659290
8600.00	0.443637	0.661424
8610.00	0.445800	0.660279
8620.00	0.445820	0.661189
8630.00	0.447191	0.660379
8640.00	0.446108	0.660804
8650.00	0.446826	0.660275
8660.00	0.446950	0.658099
8670.00	0.445424	0.658356
8680.00	0.446380	0.663832
8690.00	0.446454	0.661812
8700.00	0.444410	0.655946
8710.00	0.443366	0.658091
8720.00	0.445341	0.663100
8730.00	0.445090	0.657843
8740.00	0.444760	0.657235
8750.00	0.443628	0.659104
8760.00	0.444910	0.664542
8770.00	0.443941	0.657165
8780.00	0.443176	0.656176
8790.00	0.444053	0.660273
8800.00	0.445328	0.664461
8810.00	0.444328	0.664261
8820.00	0.443283	0.662095
8830.00	0.445080	0.663615
8840.00	0.444947	0.662345
8850.00	0.444706	0.663997
8860.00	0.445033	0.660096
8870.00	0.444765	0.658329
8880.00	0.443359	0.660615
8890.00	0.444979	0.656844
8900.00	0.443359	0.655481
8910.00	0.446592	0.658096
8920.00	0.445720	0.663804
8930.00	0.447364	0.667679
8940.00	0.445248	0.662516
8950.00	0.446161	0.663216
8960.00	0.446669	0.661703
8970.00	0.445570	0.662499
8980.00	0.446631	0.661912
8990.00	0.445746	0.661449
9000.00	0.445004	0.663361
9010.00	0.448179	0.660321
9020.00	0.446997	0.660207
9030.00	0.443611	0.661812
9040.00	0.445395	0.666844
9050.00	0.444859	0.663561
9060.00	0.445308	0.666641
9070.00	0.445615	0.660107
9080.00	0.444449	0.660571
9090.00	0.446248	0.670535
9100.00	0.446078	0.664121
9110.00	0.445940	0.664781
9120.00	0.446995	0.662133
